"FORNECEDOR";"Valor";"C CUSTO";"Tipo de Despesa";"Gerente Responsavel"
"CM COMANDOS LINEARES LTDA";295,00;" 150030";"NOBREAKS";"Marcelo"
"TOTVS S.A.";2385,67;"150010";"CONSULTORIA ERP";"Marcelo"
"ARROW ECS BRASIL DISTRIBUIDORA LTDA";1945,00;" 150030";"SOFTWARE";"Marcelo"
"LOGICAL IT SERVICOS DE INFORMATICA S.A";3676,00;" 150030";"PRODUTOS/SERVIÇOS TECNOLOGIA - SPLUNK";"Marcelo"
"AGILITY NETWORS SUPPORT SERVICES LTDA";3120,04;" 150030";"PRODUTOS/SERVIÇOS TECNOLOGIA";"Marcelo"
"TS - TECNOLOGIA E INOVACAO LTDA.";8604,40;"150030";"TARIFADOR TELECOM";"Marcelo"
"DIRECTNET PRESTACAO DE SERVICOS LTDA";106,75;"150030 ";"LINK";"Marcelo"
"INGRAM MICRO DO BRASIL LTDA";107190,00;" 150030";"LINK";"Marcelo"
"EFTLAB PTY LTD";30,00;"150060";"CERTIFICADO /SOFTWARE TI - DEV";"Marcelo"
"TELEINFO COMERCIO E SERVICOS DE TELEINFO";52600,00;"150060";"SISTEMA GRAVAÇÃO CAMERAS";"Marcelo"
"INGRAM MICRO BRASIL LTDA";100043,06;" 150030";"PRODUTOS/SERVIÇOS TECNOLOGIA";"Marcelo"
"GET PRODUTOS, SERVICOS E SOLUCOES EM INF";1708,23;" 150030";"TARIFADOR TELECOM";"Marcelo"
"DEMACO COMERCIO E SERVICOS LTDA - ME";98334,83;" 150030";"LINK/RADIO COMUNICAÇÃO";"Marcelo"
"ZENVIA MOBILE SERVICOS DIGITAIS S.A.";445828,65;" 150030";"ENVIO SMS";"Marcelo"
"EMAILAGE INFORMATICA LTDA";6059,26;"160010";"BUREAU DE INFORMAÇÕES ";"Marcelo"
"SOFTWARE EXPRESS INFORMATICA LTDA";439769,39;"150060";"SOFTWARE";"Marcelo"
"CONTRATADO TECNOLOGIA LTDA";211595,76;"140010";;"Marcelo"
"GOOGLE BRASIL INTERNET LTDA.";3271,29;" 150030";;"Marcelo"
"NUCLEO DE INFORMACAO E COORDENACAO NIC.B";208324,47;" 150030";"DOMINIO";"Marcelo"
"GOOGLE INC";2475,68;" 150030";;"Marcelo"
"COMODO BRASIL TECNOLOGIA LTDA - ME";40530,11;" 150030";"CERTIFICADOS TI";"Marcelo"
"IBX9 ASSISTENCIA TECNICA E COMERCIO DE E";2435,15;"120070";"PRODUTOS/SERVIÇOS TECNOLOGIA";"Marcelo"
"VISUALCRON";6889,44;" 150030";"SISTEMA TECNOLOGIA ";"Marcelo"
"LEANDRO RODRIGUES PEREIRA CABOS ME";114981,84;" 150030";"CABOS";"Marcelo"
"SYTEF SOLUCOES EM CAPTURA DE TRANSACOES";6774,45;" 150030";"SOFTWARE VENDING";"Marcelo"
"BASECAMP";1859,13;" 150030";"ARMAZENAMENTO";"Marcelo"
"PRODUCTPLAN";28984,86;" 150030";"SOFTWARE";"Marcelo"
"APPLE INC";1830,15;"150050";;"Marcelo"
"PMG AUDITORES INDEPENDENTES";11749,23;"120020";"AUDITORIA/BALANÇO";"Geisa"
"TAUIL E CHEQUER SOCIEDADE DE ADVOGADOS";135,34;"140020";"SERVIÇOS ADVOCATÍCIOS";"Mariana"
"RATTAGAN, MACCHIAVELLO, AROCENA ABOGADOS";11613,89;"140020";"SERVIÇOS ADVOCATÍCIOS";"Mariana"
"MOLLICA EMPRESA DE DOCUMENTACAO LTDA - M";1177,17;"140020";"SERVIÇOS ADVOCATÍCIOS";"Mariana"
"FRANCO NASCIMBENI E AZEVEDO - ADVOGADOS";46009,85;"140020";"SERVIÇOS ADVOCATÍCIOS";"Mariana"
"PIPE, PENTEADO E PAES MANSO, ADVOGADOS";521,00;"140020";"SERVIÇOS ADVOCATÍCIOS";"Mariana"
"BEERRE ASSESSORIA EMPRESARIAL LTDA.";2735,00;"140020";"SEGUROS";"Mariana"
"MARCELO LEONARDO SOCIEDADE DE ADVOGADOS";148,59;"140020";"SERVIÇOS ADVOCATÍCIOS";"Mariana"
"RAQUEL BORGES ALVES TOSCANO";263,35;"140020";"SERVICO CARTORIO";"Mariana"
"1 TABELIAO DE NOTAS E DE PROTESTO DE LET";159,17;"140020";"SERVICO CARTORIO";"Mariana"
"MTCT SERVICOS EM INFORMATICALTDA - EPP";127,56;"120020";"MATERA";"Mariana"
"MTCOM CONSULTORIA EM TECNOLOGIA DA INFOR";1360,84;"120020";"MATERA";"Mariana"
"CAC TECNOLOGIA E SERVICOS DE INFORMATICA";55,58;"120020";"MATERA";"Mariana"
"RECURSO DIGITAL DESENVOLVIMENTO DE SOFTW";465,52;"110060";"Bonificação Sobre Venda";"Débora"
"MEDIALIN COMUNICACAO E MARETING LTDA";98,90;"180040";"AGENCIAS DE COMUNICAÇÃO";"Débora"
"PROPAGUE SP - SERVICOS DE CRIACAO E COMU";97,22;"180040";"AGENCIAS DE COMUNICAÇÃO";"Débora"
"NOVAHAUS TECNOLOGIA E COMUNICACAO LTDA -";97,13;"180040";"AGENCIAS DE COMUNICAÇÃO";"Débora"
"RTM - REDE DE TELECOMUNICACOES PARA O ME";73,55;"180040";" BENEFICIOS - VAN DE PAGAMENTO ";"Débora"
"LOCAWEB SERVICOS DE INTERNET S.A.";58,82;"180040";"Email Marketing";"Débora"
"MERCADOPAGO";34,27;"180030";"Rebate MP";"Débora"
"TRIPAR BSB ADMINISTRADORA DE CARTOES LTD";64,71;"180030";"Rebate Vale Shop";"Débora"
"PL7 SERVICOS INTEGRADOS LTDA";261,12;"180020";"CREDENCIADOR ESTABELECIMENTO  BENEFICIOS";"Débora"
"FUTURI - COMERCIO & SERVICOS DE ORGANIZA";56662,56;"110060";"Bonificação Sobre Venda";"Débora"
"EXITO REAL SERVICOS DE PORTARIA, LIMPEZA";53019,36;"120070";"SERVIÇO DE LIMPEZA";"Priscila"
"ELETROPAULO METROP. ELETRIC. SAO PAULO L";3170,63;"120070";"CONCESSIONÁRIA DE ENERGIA - SP";"Priscila"
"SRBA SOCIEDADE COMERCIAL DE ADMINISTRACA";30243,25;"120070";"ALUGUEL IGB";"Priscila"
"IMRC SOCIEDADE COMERCIAL DE ADMINISTRACA";63059,58;"120070";"ALUGUEL IGB";"Priscila"
"EDUARDO FREITAS LEMES";82205,44;"120070";"ALUGUEL UDI";"Priscila"
"LM GESTAO DE NEGOCIOS LTDA";84305,36;"120070";"ALUGUEL UDI";"Priscila"
"BRASILSERVIS SERVICOS E SEGURANCA LTDA -";14785,47;"120070";"SERVIÇO DE LIMPEZA UDI";"Priscila"
"SABESP - CIA SANEAMENTO BASICO SAO PAICP";151,39;"120070";"ÁGUA E ESGOTO";"Priscila"
"CONDOMINIO WORLD BUSINESS CENTER";26,59;"120070";"CONDOMINIO UDI";"Priscila"
"CEMIG DISTRIBUICAO S.A";57,06;"120070";"CONCESSIONÁRIA DE ENERGIA - UDI";"Priscila"
"COPAGAZ DISTRIBUIDORA DE GAS S.A";60,60;"120070";"ABASTECIMENTO GÁS";"Priscila"
"SINALL COMERCIO E SERVICOS DE MAQUINAS L";60,62;"120070";"outsourcing de impressão";"Priscila"
"DATASUPRI DISTRIBUIDORA EIRELI";17,38;"120010";"MATERIAL ESCRITÓRIO";"Priscila"
"ALEX FERREIRA DE SOUZA AR CONDICIONADO -";157,73;"120070";"MANUTENÇÃO AR CONDICIONADO";"Priscila"
"R PEREIRA CARVALHO SERVICOS EM ENGENHARI";75599,32;"120070";;"Priscila"
"ANDRE CORDA VIEIRA 16582298860";31369,51;"120070";"ENTREGAS/LOGISTICA";"Priscila"
"MELHORAMENTOS PAPEIS LTDA";69108,48;"120070";"MATERIAL DESCARTÁVEL";"Priscila"
"HUGO CARRERO JUNIOR - SOLUCOES EM HIGIEN";122881,93;"120070";"MATERIAL DESCARTÁVEL";"Priscila"
"MAGAZINE LUIZA S/A";11587,66;"120010";"MATERIAIS DIVERSOS";"Priscila"
"COLEPAV AMBIENTAL LTDA";12790,95;"120070";"COLETA DE LIXO";"Priscila"
"COPASTUR VIAGENS E TURISMO LTDA";1203,29;"120010";"AGENCIA DE VIAGEM";"Priscila"
"1 GIGA COMPUTERS BRASIL LTDA - EPP";11587,68;"120010";"PRODUTOS/SERVIÇOS TECNOLOGIA";"Priscila"
"ATG COMERCIO E ASSISTENCIA TECNICA LTDA";301,01;"120070";"MANUTENÇÃO GERADORES";"Priscila"
"RONI DE OLIVEIRA MARTINS AR CONDICIONADO";32,00;"120070";"MANUTENÇÃO AR CONDICIONADO - UDI";"Priscila"
"LIN SHOP LTDA";4660,00;"120010";"MATERIAL DESCARTÁVEL";"Priscila"
"OCHOA CONSTRUCOES E SERVICOS LTDA-ME";5460,00;"120070";"REFORMAS GERAIS";"Priscila"
"ENERDIESEL LTDA -ME";1409,04;"120070";"MANUTENÇÃO GERADORES UDI";"Priscila"
